,VehId,subtrajetoria,pares,grid_origem,grid_final,turno,Quantidade de Rotas Contadas,Quantidade de Rotas Contadas - Turno
986,340,340_subtraj_327,21628_39323,21628,39323,Afternoon,24,5
987,340,340_subtraj_330,21628_42567,21628,42567,Early morning,2,1
988,340,340_subtraj_332,31284_21628,31284,21628,Morning,4,2
989,340,340_subtraj_35,20542_28925,20542,28925,Afternoon,3,2
990,340,340_subtraj_36,20542_29711,20542,29711,Evening,2,2
991,340,340_subtraj_38,29701_21628,29701,21628,Morning,17,9
992,340,340_subtraj_4,21628_38915,21628,38915,Early morning,3,1
993,340,340_subtraj_42,20542_28925,20542,28925,Afternoon,3,2
994,340,340_subtraj_44,38105_21628,38105,21628,Early morning,5,2
995,340,340_subtraj_45,29701_21628,29701,21628,Evening,17,5
996,340,340_subtraj_47,21628_39323,21628,39323,Evening,24,10
997,340,340_subtraj_49,37701_21628,37701,21628,Early morning,2,1
998,340,340_subtraj_5,21628_41349,21628,41349,Early morning,5,2
999,340,340_subtraj_51,21628_29306,21628,29306,Morning,7,3
1000,340,340_subtraj_53,39319_21628,39319,21628,Afternoon,4,2
1001,340,340_subtraj_58,21628_39323,21628,39323,Early morning,24,8
1002,340,340_subtraj_6,39319_22001,39319,22001,Morning,2,1
1003,340,340_subtraj_62,21628_29306,21628,29306,Morning,7,3
1004,340,340_subtraj_63,29700_21628,29700,21628,Afternoon,4,1
1005,340,340_subtraj_64,21628_39323,21628,39323,Early morning,24,8
1006,340,340_subtraj_66,30095_21628,30095,21628,Morning,3,1
1007,340,340_subtraj_68,21628_30886,21628,30886,Early morning,5,1
1008,340,340_subtraj_70,20542_29711,20542,29711,Evening,2,2
1009,340,340_subtraj_71,26204_20542,26204,20542,Early morning,4,2
1010,340,340_subtraj_72,21628_42973,21628,42973,Afternoon,3,2
1011,340,340_subtraj_73,21628_39323,21628,39323,Evening,24,10
1012,340,340_subtraj_74,29701_21628,29701,21628,Morning,17,9
1013,340,340_subtraj_75,21627_39323,21627,39323,Evening,5,1
1014,340,340_subtraj_76,26204_20542,26204,20542,Early morning,4,2
1015,340,340_subtraj_78,20542_26204,20542,26204,Early morning,5,1
1016,340,340_subtraj_79,29701_21628,29701,21628,Morning,17,9
1017,340,340_subtraj_81,31284_22001,31284,22001,Afternoon,2,1
1018,340,340_subtraj_82,21628_29306,21628,29306,Evening,7,2
1019,340,340_subtraj_83,29701_21628,29701,21628,Early morning,17,3
1020,340,340_subtraj_87,29700_21628,29700,21628,Morning,4,2
1021,340,340_subtraj_88,21628_41347,21628,41347,Evening,2,2
1022,340,340_subtraj_90,31284_21628,31284,21628,Early morning,4,1
1023,340,340_subtraj_93,21628_30886,21628,30886,Afternoon,5,2
1024,340,340_subtraj_94,31284_39319,31284,39319,Afternoon,2,1
1025,340,340_subtraj_98,21628_39323,21628,39323,Early morning,24,8
1026,347,347_subtraj_102,21655_39324,21655,39324,Early morning,3,1
1027,347,347_subtraj_105,29719_21655,29719,21655,Afternoon,2,1
1028,347,347_subtraj_106,29719_21655,29719,21655,Early morning,2,1
1029,347,347_subtraj_115,29719_39324,29719,39324,Afternoon,2,1
1030,347,347_subtraj_118,29711_20542,29711,20542,Early morning,2,1
1031,347,347_subtraj_12,21656_39324,21656,39324,Morning,2,2
1032,347,347_subtraj_120,43382_21655,43382,21655,Morning,2,1
1033,347,347_subtraj_121,21285_31284,21285,31284,Afternoon,2,1
1034,347,347_subtraj_122,26961_21655,26961,21655,Afternoon,2,1
1035,347,347_subtraj_124,41351_21655,41351,21655,Early morning,2,2
1036,347,347_subtraj_13,39325_21655,39325,21655,Morning,2,1
1037,347,347_subtraj_131,26961_21655,26961,21655,Evening,2,1
1038,347,347_subtraj_133,41351_21655,41351,21655,Early morning,2,2
1039,347,347_subtraj_134,26204_20908,26204,20908,Early morning,2,1
1040,347,347_subtraj_138,21285_39325,21285,39325,Afternoon,2,1
1041,347,347_subtraj_141,25826_39324,25826,39324,Afternoon,4,2
1042,347,347_subtraj_144,49923_21655,49923,21655,Early morning,2,1
1043,347,347_subtraj_145,49923_21655,49923,21655,Morning,2,1
1044,347,347_subtraj_147,21285_51163,21285,51163,Morning,4,2
1045,347,347_subtraj_152,21285_51163,21285,51163,Afternoon,4,1
1046,347,347_subtraj_156,21285_51163,21285,51163,Morning,4,2
1047,347,347_subtraj_17,29719_21656,29719,21656,Evening,3,2
1048,347,347_subtraj_27,36099_21656,36099,21656,Evening,2,2
1049,347,347_subtraj_28,29719_21656,29719,21656,Evening,3,2
1050,347,347_subtraj_29,29719_39324,29719,39324,Evening,2,1
1051,347,347_subtraj_31,21285_39325,21285,39325,Early morning,2,1
1052,347,347_subtraj_32,21286_39324,21286,39324,Afternoon,2,2
1053,347,347_subtraj_37,21286_39324,21286,39324,Afternoon,2,2
1054,347,347_subtraj_40,31284_21655,31284,21655,Afternoon,2,2
1055,347,347_subtraj_43,29718_39324,29718,39324,Early morning,2,1
1056,347,347_subtraj_45,21285_39324,21285,39324,Afternoon,5,4
1057,347,347_subtraj_46,21656_39324,21656,39324,Morning,2,2
1058,347,347_subtraj_5,21655_39324,21655,39324,Afternoon,3,2
1059,347,347_subtraj_51,39325_21655,39325,21655,Early morning,2,1
1060,347,347_subtraj_54,21285_51163,21285,51163,Early morning,4,1
1061,347,347_subtraj_58,21285_39324,21285,39324,Early morning,5,1
1062,347,347_subtraj_61,25826_39324,25826,39324,Evening,4,2
1063,347,347_subtraj_63,21285_39324,21285,39324,Afternoon,5,4
1064,347,347_subtraj_69,43382_21655,43382,21655,Evening,2,1
1065,347,347_subtraj_70,36099_21656,36099,21656,Evening,2,2
